time	file	region	chart	severity	ml_ok	monodromy_phase	pole_distance	gen_entropy	g1_m6	g2_hh2	g3_ger	g4_cup	g5_deriv	g6_ihara
1	ainf_export_1779049262.93.json	sAMY	m6	42683592519060608.0000	true	1.2268	0.0000	0.0000	42683592519060608.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	ainf_export_1779049273.60.json	sAMY	m6	596593388214214016.0000	true	1.2268	0.0000	0.0000	596593388214214016.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	ainf_export_1779049284.39.json	sAMY	m6	7937272525785508864.0000	true	1.2268	0.0000	-0.0000	7937272525785508864.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	ainf_export_1779049295.83.json	sAMY	m6	4258193070791396864.0000	true	1.2268	0.0000	0.0000	4258193070791396864.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	ainf_export_1779049307.74.json	sAMY	m6	448707985717022976.0000	true	1.2268	0.0000	-0.0000	448707985717022976.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	ainf_export_1779049319.77.json	sAMY	m6	8215830642399704064.0000	true	1.2268	0.0000	-0.0000	8215830642399704064.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	ainf_export_1779049332.19.json	sAMY	m6	11050927451643152384.0000	true	1.2268	0.0000	-0.0000	11050927451643152384.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	ainf_export_1779049343.46.json	sAMY	m6	4640633041301176320.0000	true	1.2268	0.0000	-0.0000	4640633041301176320.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	ainf_export_1779049354.55.json	sAMY	m6	3001553211146911232.0000	true	1.2268	0.0000	0.0000	3001553211146911232.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	ainf_export_1779049365.72.json	sAMY	m6	2925570198210404352.0000	true	1.2268	0.0000	-0.0000	2925570198210404352.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	ainf_export_1779049376.73.json	sAMY	m6	5481078265491202048.0000	true	1.2268	0.0000	0.0000	5481078265491202048.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	ainf_export_1779049387.69.json	sAMY	m6	4341543076702838272.0000	true	1.2268	0.0000	-0.0000	4341543076702838272.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	ainf_export_1779049398.64.json	sAMY	m6	3964742184897865728.0000	true	1.2268	0.0000	0.0000	3964742184897865728.0000	0.0000	0.0000	0.0000	0.0000	0.0000
