step	file	score	n_paths	top_weight	monodromy_phase	wall_crossing	H1_11
1	ainf_export_1779167382.99.json	0.000000	1	1.359188e+15	0.288400	false	1.00000000
2	ainf_export_1779167394.98.json	0.000000	1	1.230447e+16	0.608000	true	1.57310000
3	ainf_export_1779167406.51.json	0.000000	1	2.669960e+17	1.000000	true	1.57310000
4	ainf_export_1779167417.86.json	0.000000	1	5.022752e+15	1.000000	false	1.00000000
5	ainf_export_1779167429.34.json	0.000000	1	1.528450e+15	1.000000	false	1.00000000
6	ainf_export_1779167440.47.json	0.000000	1	3.606570e+15	1.000000	false	1.00000000
7	ainf_export_1779167451.36.json	0.000000	1	1.164651e+15	0.255900	true	0.63568750
8	ainf_export_1779167462.45.json	0.000000	1	1.920961e+13	1.000000	true	1.57310000
9	ainf_export_1779167473.62.json	0.000000	6	3.728916e+11	0.568900	true	0.63568750
10	ainf_export_1779167484.64.json	0.000000	20	2.978747e+10	0.582600	true	1.57310000
11	ainf_export_1779167496.23.json	0.000000	20	1.678166e+10	1.000000	true	1.57310000
12	ainf_export_1779167510.02.json	0.000000	20	1.621302e+10	1.000000	false	1.00000000
13	ainf_export_1779167521.46.json	0.000000	20	6.298929e+09	1.000000	false	1.00000000
14	ainf_export_1779167533.97.json	0.000000	20	4.881836e+08	1.000000	false	1.00000000
15	ainf_export_1779167546.66.json	0.000000	21	4.231897e+06	1.000000	false	1.00000000
16	ainf_export_1779167559.22.json	0.000000	21	9.751234e+07	1.000000	false	1.00000000
17	ainf_export_1779167571.43.json	0.000000	21	2.585555e+07	1.000000	false	1.00000000
18	ainf_export_1779167582.61.json	0.000000	21	9.372136e+06	1.000000	false	1.00000000
19	ainf_export_1779167594.61.json	0.000000	21	1.386052e+04	1.000000	false	1.00000000
20	ainf_export_1779167608.74.json	0.000000	21	4.462500e+05	1.000000	false	1.00000000
21	ainf_export_1779167624.22.json	0.000000	21	1.522218e+05	0.004300	true	0.63568750
22	ainf_export_1779167640.40.json	0.000000	23	1.156895e+03	0.000100	false	1.00000000
23	ainf_export_1779167652.39.json	0.000000	96	1.029214e+01	0.840900	true	1.57310000
24	ainf_export_1779167663.73.json	0.000000	100	3.999675e+00	0.004700	true	0.63568750
25	ainf_export_1779167674.57.json	0.000000	100	3.999839e+00	0.940700	true	1.57310000
26	ainf_export_1779167685.45.json	0.000000	100	3.999835e+00	0.951700	true	1.57310000
27	ainf_export_1779167696.48.json	0.000000	100	3.999756e+00	0.925600	true	0.63568750
28	ainf_export_1779167707.61.json	0.000000	100	3.999758e+00	0.002300	true	0.63568750
29	ainf_export_1779167718.65.json	0.000000	100	3.999794e+00	0.432700	true	1.57310000
30	ainf_export_1779167729.92.json	0.000000	100	3.999947e+00	0.004600	true	0.63568750
31	ainf_export_1779167741.00.json	0.000000	100	3.999984e+00	0.994700	true	1.57310000
32	ainf_export_1779167752.17.json	0.000000	100	3.999993e+00	0.996700	false	1.00000000
33	ainf_export_1779167764.04.json	0.000000	100	3.999995e+00	0.741500	true	0.63568750
34	ainf_export_1779167777.90.json	0.000000	100	4.000347e+00	0.019100	true	0.63568750
35	ainf_export_1779167791.12.json	0.000000	100	4.000296e+00	0.656800	true	1.57310000
36	ainf_export_1779167803.54.json	0.000000	100	4.000107e+00	0.996600	true	1.57310000
37	ainf_export_1779167816.58.json	0.000000	100	4.000087e+00	0.996100	false	1.00000000
38	ainf_export_1779167830.27.json	0.000000	100	4.000176e+00	0.997400	false	1.00000000
