step	file	score	n_paths	top_weight	monodromy_phase	wall_crossing	H1_11
1	ainf_export_1778225479.99.json	0.000000	2	1.063282e+15	1.602212	false	1.00000000
2	ainf_export_1778225488.63.json	0.000000	2	2.413816e+16	1.602212	false	1.00000000
3	ainf_export_1778225497.30.json	0.000000	1	3.107387e+15	1.586504	true	0.99987663
4	ainf_export_1778225506.15.json	0.000000	3	2.142056e+13	1.602212	true	0.99987663
5	ainf_export_1778225514.97.json	0.000000	3	7.659588e+10	1.602212	false	1.00000000
6	ainf_export_1778225523.67.json	0.000000	4	8.684844e+07	1.602212	false	1.00000000
7	ainf_export_1778225532.45.json	0.000000	8	3.204306e+06	1.602212	false	1.00000000
8	ainf_export_1778225541.39.json	0.000000	7	6.892569e+05	1.602212	false	1.00000000
9	ainf_export_1778225550.97.json	0.000000	7	8.307040e+05	1.602212	false	1.00000000
10	ainf_export_1778225560.42.json	0.000000	7	4.157227e+05	1.602212	false	1.00000000
11	ainf_export_1778225569.41.json	0.000000	10	1.194055e+05	1.602212	false	1.00000000
12	ainf_export_1778225578.49.json	0.000000	9	1.411073e+05	1.602212	false	1.00000000
13	ainf_export_1778225587.72.json	0.000000	9	1.631680e+05	1.602212	false	1.00000000
14	ainf_export_1778225596.68.json	0.000000	26	1.265603e+04	1.602212	false	1.00000000
15	ainf_export_1778225605.39.json	0.000000	26	7.714074e+03	1.602212	false	1.00000000
16	ainf_export_1778225614.19.json	0.000000	26	8.338404e+03	1.602212	false	1.00000000
17	ainf_export_1778225623.01.json	0.000000	27	4.341193e+03	1.602212	false	1.00000000
18	ainf_export_1778225631.89.json	0.000000	29	2.666901e+02	1.602212	false	1.00000000
19	ainf_export_1778225640.72.json	0.000000	100	7.668615e+00	1.602212	false	1.00000000
20	ainf_export_1778225649.52.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
21	ainf_export_1778225658.27.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
22	ainf_export_1778225666.93.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
23	ainf_export_1778225675.67.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
24	ainf_export_1778225684.85.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
25	ainf_export_1778225693.70.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
26	ainf_export_1778225702.46.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
27	ainf_export_1778225711.24.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
