id	time	dominant	gap	obs	score	support_sum	perv_sum	bridgeland_phase	klein_constraint	lefschetz_proxy	gap_complex_re	gap_complex_im	plucker_phase
1	1779167382.990	BLA	0.0000	1454086424102355.25	-14540864241002.553	7.000	14	0.2907	0.000000	7.0000	-6.3618	24.3216	-2.5128
2	1779167394.980	BLA	0.0000	13022748330901758.00	-130227483308996.578	7.000	14	0.6076	0.000000	0.0000	-62.0006	-49.7351	2.8928
3	1779167406.510	BLA	0.0000	285369950578796736.00	-2853699505787946.500	7.000	14	0.4538	0.000000	0.0000	-0.0000	0.0000	1.2830
4	1779167417.860	BLA	0.0000	5310890708080200.00	-53108907080781.000	7.000	14	0.4517	0.000000	0.0000	-0.0000	0.0000	1.7662
5	1779167429.340	BLA	0.0000	1594965029864450.50	-15949650298623.506	7.000	14	1.0000	0.000000	0.0000	0.0000	0.0000	1.1817
6	1779167440.470	BLA	0.0000	3808534680386786.50	-38085346803846.867	7.000	14	1.0000	0.000000	0.0000	0.0000	0.0000	1.1877
7	1779167451.360	BLA	0.0000	1295824303130602.25	-12958243031285.023	7.000	14	1.0000	0.000000	0.0000	0.0000	0.0000	1.1818
8	1779167462.450	BLA	0.0000	38912392586939.83	-389123925848.398	7.000	14	1.0000	0.000000	0.0000	0.0000	0.0000	1.2027
9	1779167473.620	BLA	0.0000	2202990957997.26	-22029909558.973	7.000	14	0.4437	0.000000	0.0000	-3.5834	1.3232	1.8441
10	1779167484.640	BLA	0.0000	305988081235.32	-3059880791.353	7.000	14	1.0000	0.000000	0.0000	0.0000	0.0000	1.8353
11	1779167496.230	BLA	0.0000	166084444533.18	-1660844424.332	7.000	14	1.0000	0.000000	0.0000	0.0000	0.0000	1.8450
12	1779167510.020	BLA	0.0000	160061496463.56	-1600614943.636	7.000	14	1.0000	0.000000	0.0000	0.0000	0.0000	1.8324
13	1779167521.460	BLA	0.0000	62060808201.76	-620608061.018	7.000	14	1.0000	0.000000	0.0000	0.0000	0.0000	1.8250
14	1779167533.970	BLA	0.0000	4911142578.48	-49111404.785	7.000	14	1.0000	0.000000	0.0000	0.0000	0.0000	1.8183
15	1779167546.660	BLA	0.0000	46515291.56	-465131.916	7.000	14	1.0000	0.000000	0.0000	0.0000	0.0000	1.8275
16	1779167559.220	BLA	0.0000	1031187693.95	-10311855.940	7.000	14	1.0000	0.000000	0.0000	0.0000	0.0000	1.8141
17	1779167571.430	BLA	0.0000	278206646.56	-2782045.466	7.000	14	1.0000	0.000000	0.0000	0.0000	0.0000	1.8068
18	1779167582.610	BLA	0.0000	100906179.11	-1009040.791	7.000	14	1.0000	0.000000	0.0000	0.0000	0.0000	1.1892
19	1779167594.610	BLA	0.0000	207133.73	-2050.337	7.000	14	1.0000	0.000000	0.0000	0.0000	0.0000	0.5631
20	1779167608.740	BLA	0.0000	5342589.29	-53404.893	7.000	14	1.0000	0.000000	0.0000	0.0000	0.0000	0.5624
21	1779167624.220	BLA	0.0000	1916807.83	-19147.078	7.000	14	1.0000	0.000000	0.0000	0.0000	0.0000	-0.0411
22	1779167640.400	BLA	0.0000	23736.74	-216.367	7.000	14	1.0000	0.000000	0.0000	0.0000	0.0000	0.3037
23	1779167652.390	BLA	10.4785	895.32	116.832	7.000	14	0.0017	0.000000	0.0000	16.4888	0.1744	0.0722
24	1779167663.730	BLA	20.9628	511.08	225.517	7.000	14	0.0038	0.000000	0.0000	22.8357	0.5408	0.4307
25	1779167674.570	BLA	22.8105	676.51	242.340	7.000	14	0.0047	0.000000	0.0000	24.7255	0.7271	0.5128
26	1779167685.450	BLA	22.8105	674.82	242.357	7.000	14	0.0049	0.000000	0.0000	23.9913	0.7419	0.5877
27	1779167696.480	BLA	20.9770	588.25	224.887	7.000	14	0.0030	0.000000	0.0000	23.4220	0.4359	0.3658
28	1779167707.610	BLA	20.9770	589.59	224.874	7.000	14	0.0032	0.000000	0.0000	20.3857	0.4088	0.7156
29	1779167718.650	BLA	22.7907	612.28	242.784	7.000	14	0.0043	0.000000	0.0000	24.3691	0.6612	0.4875
30	1779167729.920	BLA	22.8217	711.59	242.101	7.000	14	0.0049	0.000000	0.0000	24.7997	0.7711	0.5416
31	1779167741.000	BLA	22.8217	751.09	241.706	7.000	14	0.0052	0.000000	0.0000	23.0046	0.7576	0.7229
32	1779167752.170	BLA	22.8217	774.04	241.476	7.000	14	0.0055	0.000000	0.0000	23.6396	0.8098	0.6850
33	1779167764.040	BLA	22.8217	778.23	241.434	7.000	14	0.9998	0.000000	0.0000	28.0065	-0.0304	-0.0143
34	1779167777.900	BLA	22.8235	784.28	241.392	7.000	14	0.9948	0.000000	0.0000	24.6960	-0.8012	-0.6015
35	1779167791.120	BLA	22.8235	785.23	241.383	7.000	14	0.9948	0.000000	0.0000	24.4837	-0.7989	-0.6209
36	1779167803.540	BLA	22.8235	785.73	241.378	7.000	14	0.8852	0.000000	0.0000	0.0000	-0.0000	-1.4897
37	1779167816.580	BLA	22.8235	785.78	241.377	7.000	14	0.5791	0.000000	0.0000	-0.0000	-0.0000	-1.5688
38	1779167830.270	BLA	22.8235	785.55	241.379	7.000	14	0.9956	0.000000	0.0000	26.2598	-0.7339	-0.4399
39	1779167845.340	BLA	22.8235	785.13	241.384	7.000	14	0.9956	0.000000	0.0000	26.2524	-0.7341	-0.4404
40	1779167865.100	BLA	22.8235	784.34	241.391	7.000	14	0.9950	0.000000	0.0000	25.2239	-0.7975	-0.5519
41	1779167882.930	BLA	22.8235	782.87	241.406	7.000	14	0.9952	0.000000	0.0000	25.7149	-0.7757	-0.5003
42	1779167898.420	BLA	22.8235	780.15	241.433	7.000	14	0.9973	0.000000	0.0000	20.1840	-0.3471	-0.9231
43	1779167916.490	BLA	22.8235	775.16	241.483	7.000	14	0.0312	0.000000	0.0000	11.9630	2.3723	-1.2984
44	1779167931.590	BLA	22.8235	776.90	241.466	7.000	14	0.9953	0.000000	0.0000	22.4751	-0.6655	-0.7741
45	1779167949.700	BLA	22.8235	782.68	241.408	7.000	14	0.9948	0.000000	0.0000	23.8712	-0.7758	-0.6712
46	1779167961.480	BLA	22.8235	784.79	241.387	7.000	14	0.9950	0.000000	0.0000	23.1753	-0.7326	-0.7265
