id;pos_x;pos_y;pos_z;degree;isAtSampleBorder;regions
29215;1082.0;2817.0;369.0;1;0;['HPF']
29702;1073.0;2837.0;372.0;1;0;['HPF']
30064;1036.0;2860.0;374.0;1;0;['HPF']
30358;1078.0;2789.0;376.0;1;0;['HPF']
30366;1086.0;2852.0;376.0;1;0;['HPF']
30368;1041.0;2863.0;376.0;1;0;['HPF']
30554;1082.0;2805.0;377.0;1;0;['HPF']
30560;1093.0;2851.0;377.0;1;0;['HPF']
30739;1084.0;2748.0;378.0;1;0;['HPF']
31069;1149.0;2744.0;380.0;1;0;['HPF']
31070;1090.0;2746.0;380.0;1;0;['HPF']
31236;1069.0;2742.0;381.0;1;0;['HPF']
31240;1159.0;2791.0;381.0;1;0;['HPF']
31404;1121.0;2881.0;382.0;1;0;['HPF']
31720;1094.0;2836.0;384.0;1;0;['HPF']
31894;1106.0;2855.0;385.0;1;0;['HPF']
32399;1006.0;2799.0;388.0;1;0;['HPF']
32722;1134.0;2748.0;390.0;1;0;['HPF']
33056;1156.0;2817.0;392.0;1;0;['HPF']
33207;1119.0;2879.0;393.0;1;0;['HPF']
33402;1166.0;2768.0;394.0;1;0;['HPF']
33406;962.0;2884.0;394.0;1;0;['HPF']
33410;1029.0;2928.0;394.0;1;0;['HPF']
33580;2073.0;2866.0;395.0;1;0;['HPF']
33582;974.0;2891.0;395.0;1;0;['HPF']
33744;1055.0;2946.0;396.0;1;0;['HPF']
33918;1195.0;2684.0;397.0;1;0;['HPF']
33923;2099.0;2879.0;397.0;1;0;['HPF']
34074;1091.0;2831.0;398.0;1;0;['HPF']
34075;1189.0;2842.0;398.0;1;0;['HPF']
34242;1064.0;2904.0;399.0;1;0;['HPF']
34603;1046.0;2758.0;401.0;1;0;['HPF']
34606;2067.0;2819.0;401.0;1;0;['HPF']
34799;1943.0;2706.0;402.0;1;0;['HPF']
34801;1974.0;2749.0;402.0;1;0;['HPF']
34811;2137.0;2867.0;402.0;1;0;['HPF']
34983;1027.0;2719.0;403.0;1;0;['HPF']
34987;1080.0;2807.0;403.0;1;0;['HPF']
35171;1028.0;2741.0;404.0;1;0;['HPF']
35172;1954.0;2752.0;404.0;1;0;['HPF']
35175;1121.0;2808.0;404.0;1;0;['HPF']
35183;2138.0;2896.0;404.0;1;0;['HPF']
35356;1118.0;2703.0;405.0;1;0;['HPF']
35358;1232.0;2727.0;405.0;1;0;['HPF']
35359;979.0;2735.0;405.0;1;0;['HPF']
35360;1086.0;2745.0;405.0;1;0;['HPF']
35361;2055.0;2773.0;405.0;1;0;['HPF']
35364;945.0;2810.0;405.0;1;0;['HPF']
35374;1015.0;2971.0;405.0;1;0;['HPF']
35529;1033.0;2758.0;406.0;1;0;['HPF']
35541;927.0;2990.0;406.0;1;0;['HPF']
35695;2070.0;2803.0;407.0;1;0;['HPF']
35704;914.0;2919.0;407.0;1;0;['HPF']
35878;994.0;2718.0;408.0;1;0;['HPF']
35888;1073.0;2874.0;408.0;1;0;['HPF']
35892;2114.0;2932.0;408.0;1;0;['HPF']
35894;1073.0;2937.0;408.0;1;0;['HPF']
36056;1131.0;2654.0;409.0;1;0;['HPF']
36060;1951.0;2712.0;409.0;1;0;['HPF']
36066;1043.0;2865.0;409.0;1;0;['HPF']
36068;914.0;2869.0;409.0;1;0;['HPF']
36070;2158.0;2883.0;409.0;1;0;['HPF']
36245;1061.0;2779.0;410.0;1;0;['HPF']
36410;1237.0;2674.0;411.0;1;0;['HPF']
36412;1066.0;2740.0;411.0;1;0;['HPF']
36414;1010.0;2761.0;411.0;1;0;['HPF']
36416;908.0;2824.0;411.0;1;0;['HPF']
36417;1077.0;2833.0;411.0;1;0;['HPF']
36422;1020.0;2912.0;411.0;1;0;['HPF']
36423;2116.0;2929.0;411.0;1;0;['HPF']
36568;2090.0;2873.0;412.0;1;0;['HPF']
36574;2171.0;2952.0;412.0;1;0;['HPF']
36734;2109.0;2808.0;413.0;1;0;['HPF']
36735;1073.0;2811.0;413.0;1;0;['HPF']
36737;1092.0;2879.0;413.0;1;0;['HPF']
36738;2122.0;2885.0;413.0;1;0;['HPF']
36739;1011.0;2920.0;413.0;1;0;['HPF']
36926;1961.0;2724.0;414.0;1;0;['HPF']
