src_idx,tgt_idx,weight
2,2,1659959.6703550308
1,1,71936.61504999982
1,2,7939.201100000006
2,1,9517.166790000001
5,5,246473.95829799914
6,6,254212.70160699895
4,4,62335.205347999865
3,3,234117.5257919988
5,2,155.4758
2,5,168.28847000000002
6,3,2079.4360600000014
7,7,434110.01736599935
3,6,1387.11752
6,7,3257.5018800000025
4,7,142.0958
7,4,193.52627
7,6,1348.15933
4,0,6156.389440000001
0,0,196191.68416999924
0,4,1699.3031200000007
7,0,1763.5407300000004
0,7,2085.9075199999993
2,0,23.2508
7,2,193.45622
2,7,176.5277
1,7,45.9058
3,7,315.06153000000006
7,3,188.6353
